"","gene","colors"
"193","Pastreoides02294","turquoise"
"194","Pastreoides02309","blue"
"195","Pastreoides02327","pink"
"196","Pastreoides02331","red"
"197","Pastreoides02380","midnightblue"
"198","Pastreoides02390","purple"
"199","Pastreoides02391","green"
"200","Pastreoides02413","brown"
"201","Pastreoides02430","turquoise"
"202","Pastreoides02432","red"
"203","Pastreoides02433","green"
"204","Pastreoides02434","grey"
"205","Pastreoides02437","blue"
"206","Pastreoides02443","black"
"207","Pastreoides02446","salmon"
"208","Pastreoides02455","brown"
"209","Pastreoides02469","turquoise"
"210","Pastreoides02470","purple"
"211","Pastreoides02473","grey"
"212","Pastreoides02486","tan"
"213","Pastreoides02491","black"
"214","Pastreoides02512","salmon"
"215","Pastreoides02513","red"
"216","Pastreoides02539","grey60"
"217","Pastreoides02553","red"
"218","Pastreoides02554","pink"
"219","Pastreoides02593","grey"
"220","Pastreoides02601","yellow"
"221","Pastreoides02602","tan"
"222","Pastreoides02607","pink"
"223","Pastreoides02609","yellow"
"224","Pastreoides02649","yellow"
"225","Pastreoides02653","greenyellow"
"226","Pastreoides02663","brown"
"227","Pastreoides02673","yellow"
"228","Pastreoides02677","yellow"
"229","Pastreoides02681","brown"
"230","Pastreoides02707","purple"
"231","Pastreoides02711","pink"
"232","Pastreoides02726","pink"
"233","Pastreoides02749","grey"
"234","Pastreoides02760","red"
"235","Pastreoides02768","turquoise"
"236","Pastreoides02787","brown"
"237","Pastreoides02788","grey"
"238","Pastreoides02789","black"
"239","Pastreoides02790","green"
"240","Pastreoides02791","blue"
"241","Pastreoides02792","turquoise"
"242","Pastreoides02806","greenyellow"
"243","Pastreoides02817","grey"
"244","Pastreoides02821","red"
"245","Pastreoides02822","green"
"246","Pastreoides02826","brown"
"247","Pastreoides02848","grey"
"248","Pastreoides02874","tan"
"249","Pastreoides02887","purple"
"250","Pastreoides02888","cyan"
"251","Pastreoides02895","red"
"252","Pastreoides02906","lightyellow"
"253","Pastreoides02913","grey"
"254","Pastreoides02953","cyan"
"255","Pastreoides02955","grey"
"256","Pastreoides02958","yellow"
"257","Pastreoides02960","turquoise"
"258","Pastreoides02968","brown"
"259","Pastreoides02977","blue"
"260","Pastreoides02991","salmon"
"261","Pastreoides02993","lightcyan"
"262","Pastreoides02997","red"
"263","Pastreoides03002","red"
"264","Pastreoides03003","red"
"265","Pastreoides03007","yellow"
"266","Pastreoides03010","magenta"
"267","Pastreoides03014","yellow"
"268","Pastreoides03020","brown"
"269","Pastreoides03027","cyan"
"270","Pastreoides03028","magenta"
"271","Pastreoides03043","blue"
"272","Pastreoides03045","green"
"273","Pastreoides03047","brown"
"274","Pastreoides03048","red"
"275","Pastreoides03051","blue"
"276","Pastreoides03060","grey"
"277","Pastreoides03073","red"
