Vial,Date,Run,Well,Sample.Type,Concentration
NA,20190515,1,A1,Standard,2000
NA,20190515,1,A2,Standard,2000
NA,20190515,1,A3,Standard,2000
NA,20190515,1,A4,Standard,1500
NA,20190515,1,A5,Standard,1500
NA,20190515,1,A6,Standard,1500
NA,20190515,1,A7,Standard,1000
NA,20190515,1,A8,Standard,1000
NA,20190515,1,A9,Standard,1000
NA,20190515,1,A10,Standard,750
NA,20190515,1,A11,Standard,750
NA,20190515,1,A12,Standard,750
NA,20190515,1,B1,Standard,500
NA,20190515,1,B2,Standard,500
NA,20190515,1,B3,Standard,500
NA,20190515,1,B4,Standard,250
NA,20190515,1,B5,Standard,250
NA,20190515,1,B6,Standard,250
NA,20190515,1,B7,Standard,125
NA,20190515,1,B8,Standard,125
NA,20190515,1,B9,Standard,125
NA,20190515,1,B10,Standard,25
NA,20190515,1,B11,Standard,25
NA,20190515,1,B12,Standard,25
NA,20190515,1,C1,Blank,0
NA,20190515,1,C2,Blank,0
NA,20190515,1,C3,Blank,0
500,20190515,1,C4,Sample,
500,20190515,1,C5,Sample,
500,20190515,1,C6,Sample,
503,20190515,1,C7,Sample,
503,20190515,1,C8,Sample,
503,20190515,1,C9,Sample,
508,20190515,1,C10,Sample,
508,20190515,1,C11,Sample,
508,20190515,1,C12,Sample,
511,20190515,1,D1,Sample,
511,20190515,1,D2,Sample,
511,20190515,1,D3,Sample,
514,20190515,1,D4,Sample,
514,20190515,1,D5,Sample,
514,20190515,1,D6,Sample,
519,20190515,1,D7,Sample,
519,20190515,1,D8,Sample,
519,20190515,1,D9,Sample,
523,20190515,1,D10,Sample,
523,20190515,1,D11,Sample,
523,20190515,1,D12,Sample,
526,20190515,1,E1,Sample,
526,20190515,1,E2,Sample,
526,20190515,1,E3,Sample,
532,20190515,1,E4,Sample,
532,20190515,1,E5,Sample,
532,20190515,1,E6,Sample,
535,20190515,1,E7,Sample,
535,20190515,1,E8,Sample,
535,20190515,1,E9,Sample,
538,20190515,1,E10,Sample,
538,20190515,1,E11,Sample,
538,20190515,1,E12,Sample,
541,20190515,1,F1,Sample,
541,20190515,1,F2,Sample,
541,20190515,1,F3,Sample,
544,20190515,1,F4,Sample,
