Mooring Name,Latitude,Longitude,Date,Time,SST_C,Salinity
CRESCENT_64W_32N,32.401,-64.798,8/27/2017,21:17,29.2,36.47
CRESCENT_64W_32N,32.401,-64.798,8/28/2017,0:17,29.1,36.49
CRESCENT_64W_32N,32.401,-64.798,8/28/2017,3:17,29.06,36.44
CRESCENT_64W_32N,32.401,-64.798,8/28/2017,6:17,28.84,36.49
CRESCENT_64W_32N,32.401,-64.798,8/28/2017,9:17,28.82,36.47
CRESCENT_64W_32N,32.401,-64.798,8/28/2017,12:17,28.77,36.47
CRESCENT_64W_32N,32.401,-64.798,8/28/2017,15:17,28.94,36.47
CRESCENT_64W_32N,32.401,-64.798,8/28/2017,18:17,29.19,36.47
CRESCENT_64W_32N,32.401,-64.798,8/28/2017,21:17,29.27,36.46
CRESCENT_64W_32N,32.401,-64.798,8/29/2017,0:17,29.11,36.46
CRESCENT_64W_32N,32.401,-64.798,8/29/2017,3:17,29.06,36.47
CRESCENT_64W_32N,32.401,-64.798,8/29/2017,6:17,28.95,36.47
CRESCENT_64W_32N,32.401,-64.798,8/29/2017,9:17,28.85,36.47
CRESCENT_64W_32N,32.401,-64.798,8/29/2017,12:17,28.82,36.47
CRESCENT_64W_32N,32.401,-64.798,8/29/2017,15:17,29.11,36.47
CRESCENT_64W_32N,32.401,-64.798,8/29/2017,18:17,29.29,36.47
CRESCENT_64W_32N,32.401,-64.798,8/29/2017,21:17,29.37,36.47
CRESCENT_64W_32N,32.401,-64.798,8/30/2017,0:17,29.13,36.47
CRESCENT_64W_32N,32.401,-64.798,8/30/2017,3:17,29.04,36.47
CRESCENT_64W_32N,32.401,-64.798,8/30/2017,6:17,28.99,36.47
CRESCENT_64W_32N,32.401,-64.798,8/30/2017,9:17,28.93,36.48
CRESCENT_64W_32N,32.401,-64.798,8/30/2017,12:17,28.9,36.48
CRESCENT_64W_32N,32.401,-64.798,8/30/2017,15:17,29.02,36.48
CRESCENT_64W_32N,32.401,-64.798,8/30/2017,18:17,29.21,36.47
CRESCENT_64W_32N,32.401,-64.798,8/30/2017,21:17,28.95,36.47
CRESCENT_64W_32N,32.401,-64.798,8/31/2017,0:17,28.76,36.48
CRESCENT_64W_32N,32.401,-64.798,8/31/2017,3:17,28.88,36.47
CRESCENT_64W_32N,32.401,-64.798,8/31/2017,6:17,28.76,36.49
CRESCENT_64W_32N,32.401,-64.798,8/31/2017,9:17,28.59,36.5
CRESCENT_64W_32N,32.401,-64.798,8/31/2017,12:17,28.52,36.51
CRESCENT_64W_32N,32.401,-64.798,8/31/2017,15:17,28.65,36.5
CRESCENT_64W_32N,32.401,-64.798,8/31/2017,18:17,28.77,36.51
CRESCENT_64W_32N,32.401,-64.798,8/31/2017,21:17,28.8,36.53
CRESCENT_64W_32N,32.401,-64.798,9/1/2017,0:17,28.7,36.54
CRESCENT_64W_32N,32.401,-64.798,9/1/2017,3:17,28.66,36.54
CRESCENT_64W_32N,32.401,-64.798,9/1/2017,6:17,28.55,36.53
CRESCENT_64W_32N,32.401,-64.798,9/1/2017,9:17,28.39,36.54
CRESCENT_64W_32N,32.401,-64.798,9/1/2017,12:17,28.52,36.52
CRESCENT_64W_32N,32.401,-64.798,9/1/2017,15:17,28.77,36.53
CRESCENT_64W_32N,32.401,-64.798,9/1/2017,18:17,29.03,36.53
CRESCENT_64W_32N,32.401,-64.798,9/1/2017,21:17,28.99,36.53
CRESCENT_64W_32N,32.401,-64.798,9/2/2017,0:17,28.7,36.52
CRESCENT_64W_32N,32.401,-64.798,9/2/2017,3:17,28.7,36.53
CRESCENT_64W_32N,32.401,-64.798,9/2/2017,6:17,28.66,36.53
CRESCENT_64W_32N,32.401,-64.798,9/2/2017,9:17,28.52,36.54
CRESCENT_64W_32N,32.401,-64.798,9/2/2017,12:17,28.45,36.55
CRESCENT_64W_32N,32.401,-64.798,9/2/2017,15:17,28.71,36.54
CRESCENT_64W_32N,32.401,-64.798,9/2/2017,18:17,28.88,36.54
CRESCENT_64W_32N,32.401,-64.798,9/2/2017,21:17,28.9,36.54
CRESCENT_64W_32N,32.401,-64.798,9/3/2017,0:17,28.78,36.54
CRESCENT_64W_32N,32.401,-64.798,9/3/2017,3:17,28.73,36.54
CRESCENT_64W_32N,32.401,-64.798,9/3/2017,6:17,28.69,36.54
CRESCENT_64W_32N,32.401,-64.798,9/3/2017,9:17,28.58,36.54
CRESCENT_64W_32N,32.401,-64.798,9/3/2017,12:17,28.54,36.55
CRESCENT_64W_32N,32.401,-64.798,9/3/2017,15:17,28.93,36.55
CRESCENT_64W_32N,32.401,-64.798,9/3/2017,18:17,29.22,36.55
CRESCENT_64W_32N,32.401,-64.798,9/3/2017,21:17,29.23,36.55
CRESCENT_64W_32N,32.401,-64.798,9/4/2017,0:17,29.17,36.54
CRESCENT_64W_32N,32.401,-64.798,9/4/2017,3:17,28.95,36.51
CRESCENT_64W_32N,32.401,-64.798,9/4/2017,6:17,28.79,36.54
CRESCENT_64W_32N,32.401,-64.798,9/4/2017,9:17,28.72,36.53
CRESCENT_64W_32N,32.401,-64.798,9/4/2017,12:17,28.82,36.51
CRESCENT_64W_32N,32.401,-64.798,9/4/2017,15:17,29.08,36.51
CRESCENT_64W_32N,32.401,-64.798,9/4/2017,18:17,29.59,36.53
CRESCENT_64W_32N,32.401,-64.798,9/4/2017,21:17,29.32,36.54
CRESCENT_64W_32N,32.401,-64.798,9/5/2017,0:17,29.16,36.54
CRESCENT_64W_32N,32.401,-64.798,9/5/2017,3:17,29.06,36.54
CRESCENT_64W_32N,32.401,-64.798,9/5/2017,6:17,28.9,36.54
CRESCENT_64W_32N,32.401,-64.798,9/5/2017,9:17,28.77,36.55
CRESCENT_64W_32N,32.401,-64.798,9/5/2017,12:17,28.72,36.55
CRESCENT_64W_32N,32.401,-64.798,9/5/2017,15:17,29.02,36.54
CRESCENT_64W_32N,32.401,-64.798,9/5/2017,18:17,29.3,36.54
CRESCENT_64W_32N,32.401,-64.798,9/5/2017,21:17,29.26,36.52
CRESCENT_64W_32N,32.401,-64.798,9/6/2017,0:17,29.12,36.53
CRESCENT_64W_32N,32.401,-64.798,9/6/2017,3:17,29,36.53
CRESCENT_64W_32N,32.401,-64.798,9/6/2017,6:17,28.89,36.54
CRESCENT_64W_32N,32.401,-64.798,9/6/2017,9:17,28.84,36.54
CRESCENT_64W_32N,32.401,-64.798,9/6/2017,12:17,28.81,36.55
CRESCENT_64W_32N,32.401,-64.798,9/6/2017,15:17,28.84,36.54
CRESCENT_64W_32N,32.401,-64.798,9/6/2017,18:17,29,36.54
CRESCENT_64W_32N,32.401,-64.798,9/6/2017,21:17,28.98,36.54
CRESCENT_64W_32N,32.401,-64.798,9/7/2017,0:17,28.86,36.53
CRESCENT_64W_32N,32.401,-64.798,9/7/2017,3:17,28.76,36.53
CRESCENT_64W_32N,32.401,-64.798,9/7/2017,6:17,28.67,36.53
CRESCENT_64W_32N,32.401,-64.798,9/7/2017,9:17,28.7,36.53
CRESCENT_64W_32N,32.401,-64.798,9/7/2017,12:17,28.6,36.53
CRESCENT_64W_32N,32.401,-64.798,9/7/2017,15:17,28.84,36.53
CRESCENT_64W_32N,32.401,-64.798,9/7/2017,18:17,29.11,36.53
CRESCENT_64W_32N,32.401,-64.798,9/7/2017,21:17,28.94,36.53
CRESCENT_64W_32N,32.401,-64.798,9/8/2017,0:17,28.93,36.54
CRESCENT_64W_32N,32.401,-64.798,9/8/2017,3:17,28.86,36.54
CRESCENT_64W_32N,32.401,-64.798,9/8/2017,6:17,28.82,36.55
CRESCENT_64W_32N,32.401,-64.798,9/8/2017,9:17,28.77,36.55
CRESCENT_64W_32N,32.401,-64.798,9/8/2017,12:17,28.81,36.55
CRESCENT_64W_32N,32.401,-64.798,9/8/2017,15:17,28.91,36.56
CRESCENT_64W_32N,32.401,-64.798,9/8/2017,18:17,29.25,36.56
CRESCENT_64W_32N,32.401,-64.798,9/8/2017,21:17,29.05,36.56
CRESCENT_64W_32N,32.401,-64.798,9/9/2017,0:17,28.95,36.56
CRESCENT_64W_32N,32.401,-64.798,9/9/2017,3:17,29.08,36.58
CRESCENT_64W_32N,32.401,-64.798,9/9/2017,6:17,29.02,36.57
CRESCENT_64W_32N,32.401,-64.798,9/9/2017,9:17,28.86,36.56
CRESCENT_64W_32N,32.401,-64.798,9/9/2017,12:17,28.85,36.57
CRESCENT_64W_32N,32.401,-64.798,9/9/2017,15:17,29.07,36.57
CRESCENT_64W_32N,32.401,-64.798,9/9/2017,18:17,29.45,36.59
CRESCENT_64W_32N,32.401,-64.798,9/9/2017,21:17,29.29,36.58
CRESCENT_64W_32N,32.401,-64.798,9/10/2017,0:17,29.04,36.58
CRESCENT_64W_32N,32.401,-64.798,9/10/2017,3:17,29.08,36.59
CRESCENT_64W_32N,32.401,-64.798,9/10/2017,6:17,29.02,36.59
CRESCENT_64W_32N,32.401,-64.798,9/10/2017,9:17,28.87,36.59
CRESCENT_64W_32N,32.401,-64.798,9/10/2017,12:17,28.91,36.59
CRESCENT_64W_32N,32.401,-64.798,9/10/2017,15:17,28.99,36.59
CRESCENT_64W_32N,32.401,-64.798,9/10/2017,18:17,29.44,36.59
CRESCENT_64W_32N,32.401,-64.798,9/10/2017,21:17,29.05,36.59
CRESCENT_64W_32N,32.401,-64.798,9/11/2017,0:17,29.12,36.58
CRESCENT_64W_32N,32.401,-64.798,9/11/2017,3:17,29.05,36.59
CRESCENT_64W_32N,32.401,-64.798,9/11/2017,6:17,29.02,36.59
CRESCENT_64W_32N,32.401,-64.798,9/11/2017,9:17,28.94,36.57
CRESCENT_64W_32N,32.401,-64.798,9/11/2017,12:17,28.91,36.59
CRESCENT_64W_32N,32.401,-64.798,9/11/2017,15:17,28.93,36.59
CRESCENT_64W_32N,32.401,-64.798,9/11/2017,18:17,28.92,36.6
CRESCENT_64W_32N,32.401,-64.798,9/11/2017,21:17,28.85,36.61
CRESCENT_64W_32N,32.401,-64.798,9/12/2017,0:17,28.81,36.61
CRESCENT_64W_32N,32.401,-64.798,9/12/2017,3:17,28.71,36.61
CRESCENT_64W_32N,32.401,-64.798,9/12/2017,6:17,28.56,36.62
CRESCENT_64W_32N,32.401,-64.798,9/12/2017,9:17,28.44,36.62
CRESCENT_64W_32N,32.401,-64.798,9/12/2017,12:17,28.43,36.62
CRESCENT_64W_32N,32.401,-64.798,9/12/2017,15:17,28.57,36.62
CRESCENT_64W_32N,32.401,-64.798,9/12/2017,18:17,28.79,36.62
CRESCENT_64W_32N,32.401,-64.798,9/12/2017,21:17,28.79,36.62
CRESCENT_64W_32N,32.401,-64.798,9/13/2017,0:17,28.65,36.63
CRESCENT_64W_32N,32.401,-64.798,9/13/2017,3:17,28.58,36.63
CRESCENT_64W_32N,32.401,-64.798,9/13/2017,6:17,28.45,36.63
CRESCENT_64W_32N,32.401,-64.798,9/13/2017,9:17,28.25,36.65
CRESCENT_64W_32N,32.401,-64.798,9/13/2017,12:17,28.32,36.64
CRESCENT_64W_32N,32.401,-64.798,9/13/2017,15:17,28.47,36.64
CRESCENT_64W_32N,32.401,-64.798,9/13/2017,18:17,28.77,36.65
CRESCENT_64W_32N,32.401,-64.798,9/13/2017,21:17,28.73,36.66
CRESCENT_64W_32N,32.401,-64.798,9/14/2017,0:17,28.61,36.66
CRESCENT_64W_32N,32.401,-64.798,9/14/2017,3:17,28.48,36.65
CRESCENT_64W_32N,32.401,-64.798,9/14/2017,6:17,28.39,36.65
