Vial,coral.id,Date.sampled,life.stage,metric
309,P-10-B,20180626,Adult,Chl A
310,P-10-B,20180626,Adult,EXTRA
311,P-10-B,20180626,Adult,EXTRA
312,P-10-B,20180626,Adult,EXTRA
313,P-9-A,20180628,Adult,Zoox
314,P-9-A,20180628,Adult,Zoox
315,P-9-A,20180628,Adult,Zoox
316,P-9-A,20180628,Adult,Protein
317,P-9-A,20180628,Adult,Protein
318,P-9-A,20180628,Adult,Protein
319,P-9-A,20180628,Adult,Chl A
320,P-9-A,20180628,Adult,Chl A
321,P-9-A,20180628,Adult,Chl A
322,P-9-A,20180628,Adult,EXTRA
323,P-9-A,20180628,Adult,EXTRA
324,P-9-A,20180628,Adult,EXTRA
325,P-19-B,20180626,Adult,Zoox
326,P-19-B,20180626,Adult,Zoox
327,P-19-B,20180626,Adult,Zoox
328,P-19-B,20180626,Adult,Protein
329,P-19-B,20180626,Adult,Protein
330,P-19-B,20180626,Adult,Protein
331,P-19-B,20180626,Adult,Chl A
332,P-19-B,20180626,Adult,Chl A
333,P-19-B,20180626,Adult,Chl A
334,P-19-B,20180626,Adult,EXTRA
335,P-19-B,20180626,Adult,EXTRA
336,P-19-B,20180626,Adult,EXTRA
337,P-6-B,20180626,Adult,Zoox
338,P-6-B,20180626,Adult,Zoox
339,P-6-B,20180626,Adult,Zoox
340,P-6-B,20180626,Adult,Protein
341,P-6-B,20180626,Adult,Protein
342,P-6-B,20180626,Adult,Protein
343,P-6-B,20180626,Adult,Chl A
344,P-6-B,20180626,Adult,Chl A
345,P-6-B,20180626,Adult,Chl A
346,P-6-B,20180626,Adult,EXTRA
347,P-6-B,20180626,Adult,EXTRA
348,P-6-B,20180626,Adult,EXTRA
349,P-10-A,20180628,Adult,Zoox
350,P-10-A,20180628,Adult,Zoox
351,P-10-A,20180628,Adult,Zoox
352,P-10-A,20180628,Adult,Protein
353,P-10-A,20180628,Adult,Protein
354,P-10-A,20180628,Adult,Protein
355,P-10-A,20180628,Adult,Chl A
356,P-10-A,20180628,Adult,Chl A
357,P-10-A,20180628,Adult,Chl A
358,P-10-A,20180628,Adult,EXTRA
359,P-10-A,20180628,Adult,EXTRA
360,P-10-A,20180628,Adult,EXTRA
361,P-15-A,20180628,Adult,Zoox
362,P-15-A,20180628,Adult,Zoox
363,P-15-A,20180628,Adult,Zoox
364,P-15-A,20180628,Adult,Protein
365,P-15-A,20180628,Adult,Protein
366,P-15-A,20180628,Adult,Protein
367,P-15-A,20180628,Adult,Chl A
368,P-15-A,20180628,Adult,Chl A
369,P-15-A,20180628,Adult,Chl A
370,P-15-A,20180628,Adult,EXTRA
371,P-15-A,20180628,Adult,EXTRA
372,P-15-A,20180628,Adult,EXTRA
373,R-4-B,20180626,Adult,Zoox
374,R-4-B,20180626,Adult,Zoox
375,R-4-B,20180626,Adult,Zoox
376,R-4-B,20180626,Adult,Protein
377,R-4-B,20180626,Adult,Protein
378,R-4-B,20180626,Adult,Protein
379,R-4-B,20180626,Adult,Chl A
380,R-4-B,20180626,Adult,Chl A
381,R-4-B,20180626,Adult,Chl A
382,R-4-B,20180626,Adult,EXTRA
383,R-4-B,20180626,Adult,EXTRA
384,R-4-B,20180626,Adult,EXTRA
385,P-9-B,20180626,Adult,Zoox
386,P-9-B,20180626,Adult,Zoox
387,P-9-B,20180626,Adult,Zoox
388,P-9-B,20180626,Adult,Protein
389,P-9-B,20180626,Adult,Protein
390,P-9-B,20180626,Adult,Protein
391,P-9-B,20180626,Adult,Chl A
392,P-9-B,20180626,Adult,Chl A
393,P-9-B,20180626,Adult,Chl A
394,P-9-B,20180626,Adult,EXTRA
395,P-9-B,20180626,Adult,EXTRA
396,P-9-B,20180626,Adult,EXTRA
397,R-15-A,20180628,Adult,Zoox
398,R-15-A,20180628,Adult,Zoox
399,R-15-A,20180628,Adult,Zoox
400,R-15-A,20180628,Adult,Protein
401,R-15-A,20180628,Adult,Protein
402,R-15-A,20180628,Adult,Protein
403,R-15-A,20180628,Adult,Chl A
404,R-15-A,20180628,Adult,Chl A
405,R-15-A,20180628,Adult,Chl A
406,R-15-A,20180628,Adult,EXTRA
407,R-15-A,20180628,Adult,EXTRA
408,R-15-A,20180628,Adult,EXTRA
409,R-9-A,20180628,Adult,Zoox
410,R-9-A,20180628,Adult,Zoox
411,R-9-A,20180628,Adult,Zoox
412,R-9-A,20180628,Adult,Protein
413,R-9-A,20180628,Adult,Protein
414,R-9-A,20180628,Adult,Protein
415,R-9-A,20180628,Adult,Chl A
416,R-9-A,20180628,Adult,Chl A
417,R-9-A,20180628,Adult,Chl A
418,R-9-A,20180628,Adult,EXTRA
419,R-9-A,20180628,Adult,EXTRA
420,R-9-A,20180628,Adult,EXTRA
421,P-3-A,20180628,Adult,Zoox
422,P-3-A,20180628,Adult,Zoox
423,P-3-A,20180628,Adult,Zoox
424,P-3-A,20180628,Adult,Protein
425,P-3-A,20180628,Adult,Protein
426,P-3-A,20180628,Adult,Protein
427,P-3-A,20180628,Adult,Chl A
428,P-3-A,20180628,Adult,Chl A
429,P-3-A,20180628,Adult,Chl A
430,P-3-A,20180628,Adult,EXTRA
431,P-3-A,20180628,Adult,EXTRA
432,P-3-A,20180628,Adult,EXTRA
433,R-9-B,20180626,Adult,Zoox
434,R-9-B,20180626,Adult,Zoox
435,R-9-B,20180626,Adult,Zoox
436,R-9-B,20180626,Adult,Protein
437,R-9-B,20180626,Adult,Protein
438,R-9-B,20180626,Adult,Protein
439,R-9-B,20180626,Adult,Chl A
440,R-9-B,20180626,Adult,Chl A
441,R-9-B,20180626,Adult,Chl A
442,R-9-B,20180626,Adult,EXTRA
443,R-9-B,20180626,Adult,EXTRA
444,R-9-B,20180626,Adult,EXTRA
445,P-12-A,20180628,Adult,Zoox
446,P-12-A,20180628,Adult,Zoox
447,P-12-A,20180628,Adult,Zoox
448,P-12-A,20180628,Adult,Protein
449,P-12-A,20180628,Adult,Protein
450,P-12-A,20180628,Adult,Protein
451,P-12-A,20180628,Adult,Chl A
452,P-12-A,20180628,Adult,Chl A
