"","gene","colors"
"189","Pastreoides01600","green"
"190","Pastreoides01621","red"
"191","Pastreoides01623","yellow"
"192","Pastreoides01625","greenyellow"
"193","Pastreoides01630","grey"
"194","Pastreoides01641","grey"
"195","Pastreoides01642","darkgreen"
"196","Pastreoides01650","yellow"
"197","Pastreoides01654","pink"
"198","Pastreoides01657","darkturquoise"
"199","Pastreoides01660","yellow"
"200","Pastreoides01662","lightcyan"
"201","Pastreoides01684","black"
"202","Pastreoides01710","red"
"203","Pastreoides01711","red"
"204","Pastreoides01715","pink"
"205","Pastreoides01755","magenta"
"206","Pastreoides01756","midnightblue"
"207","Pastreoides01757","brown"
"208","Pastreoides01777","brown"
"209","Pastreoides01779","grey"
"210","Pastreoides01789","salmon"
"211","Pastreoides01809","darkgreen"
"212","Pastreoides01815","midnightblue"
"213","Pastreoides01820","darkred"
"214","Pastreoides01821","greenyellow"
"215","Pastreoides01822","magenta"
"216","Pastreoides01823","yellow"
"217","Pastreoides01826","blue"
"218","Pastreoides01827","red"
"219","Pastreoides01828","pink"
"220","Pastreoides01832","greenyellow"
"221","Pastreoides01836","black"
"222","Pastreoides01838","black"
"223","Pastreoides01849","salmon"
"224","Pastreoides01852","black"
"225","Pastreoides01854","greenyellow"
"226","Pastreoides01859","red"
"227","Pastreoides01864","purple"
"228","Pastreoides01866","grey"
"229","Pastreoides01868","brown"
"230","Pastreoides01872","green"
"231","Pastreoides01876","turquoise"
"232","Pastreoides01877","purple"
"233","Pastreoides01886","yellow"
"234","Pastreoides01888","yellow"
"235","Pastreoides01902","royalblue"
"236","Pastreoides01904","black"
"237","Pastreoides01935","yellow"
"238","Pastreoides01939","grey"
"239","Pastreoides01953","black"
"240","Pastreoides01956","brown"
"241","Pastreoides01957","yellow"
"242","Pastreoides01959","green"
"243","Pastreoides01962","green"
"244","Pastreoides01966","red"
"245","Pastreoides01968","cyan"
"246","Pastreoides01970","grey"
"247","Pastreoides01980","brown"
"248","Pastreoides01990","brown"
"249","Pastreoides01993","darkturquoise"
"250","Pastreoides01995","lightgreen"
"251","Pastreoides01999","salmon"
"252","Pastreoides02006","red"
"253","Pastreoides02007","brown"
"254","Pastreoides02008","darkred"
"255","Pastreoides02011","red"
"256","Pastreoides02018","yellow"
"257","Pastreoides02021","turquoise"
"258","Pastreoides02033","blue"
"259","Pastreoides02037","black"
"260","Pastreoides02038","pink"
"261","Pastreoides02039","grey"
"262","Pastreoides02041","purple"
"263","Pastreoides02042","greenyellow"
"264","Pastreoides02043","tan"
"265","Pastreoides02045","grey60"
"266","Pastreoides02046","blue"
"267","Pastreoides02051","grey"
"268","Pastreoides02070","purple"
"269","Pastreoides02079","brown"
"270","Pastreoides02082","green"
"271","Pastreoides02098","red"
"272","Pastreoides02101","darkred"
"273","Pastreoides02102","lightcyan"
"274","Pastreoides02103","brown"
"275","Pastreoides02106","blue"
"276","Pastreoides02110","turquoise"
"277","Pastreoides02115","grey"
"278","Pastreoides02159","salmon"
"279","Pastreoides02162","yellow"
"280","Pastreoides02166","grey"
"281","Pastreoides02168","purple"
"282","Pastreoides02176","magenta"
"283","Pastreoides02190","tan"
"284","Pastreoides02199","lightgreen"
"285","Pastreoides02202","blue"
"286","Pastreoides02208","turquoise"
"287","Pastreoides02209","turquoise"
"288","Pastreoides02227","green"
"289","Pastreoides02232","tan"
"290","Pastreoides02267","turquoise"
"291","Pastreoides02268","purple"
"292","Pastreoides02270","red"
"293","Pastreoides02272","darkred"
"294","Pastreoides02274","red"
"295","Pastreoides02276","yellow"
"296","Pastreoides02290","red"
"297","Pastreoides02294","black"
"298","Pastreoides02308","blue"
"299","Pastreoides02309","turquoise"
"300","Pastreoides02315","black"
"301","Pastreoides02318","black"
"302","Pastreoides02327","black"
"303","Pastreoides02331","green"
"304","Pastreoides02363","green"
"305","Pastreoides02373","lightcyan"
"306","Pastreoides02374","darkgreen"
"307","Pastreoides02377","lightcyan"
"308","Pastreoides02380","darkturquoise"
"309","Pastreoides02382","turquoise"
"310","Pastreoides02383","purple"
"311","Pastreoides02390","green"
"312","Pastreoides02391","brown"
"313","Pastreoides02410","grey"
"314","Pastreoides02412","blue"
"315","Pastreoides02413","brown"
"316","Pastreoides02422","turquoise"
"317","Pastreoides02424","turquoise"
"318","Pastreoides02429","black"
"319","Pastreoides02432","grey"
"320","Pastreoides02433","blue"
"321","Pastreoides02434","cyan"
"322","Pastreoides02435","grey"
"323","Pastreoides02437","blue"
"324","Pastreoides02443","blue"
"325","Pastreoides02446","tan"
"326","Pastreoides02455","purple"
"327","Pastreoides02463","lightcyan"
"328","Pastreoides02466","lightcyan"
"329","Pastreoides02469","grey"
"330","Pastreoides02470","grey60"
"331","Pastreoides02473","grey"
"332","Pastreoides02477","tan"
"333","Pastreoides02486","red"
"334","Pastreoides02487","tan"
"335","Pastreoides02490","turquoise"
"336","Pastreoides02491","turquoise"
"337","Pastreoides02500","blue"
"338","Pastreoides02505","lightyellow"
"339","Pastreoides02509","black"
"340","Pastreoides02512","tan"
"341","Pastreoides02513","red"
"342","Pastreoides02527","royalblue"
"343","Pastreoides02528","turquoise"
"344","Pastreoides02532","brown"
"345","Pastreoides02536","blue"
"346","Pastreoides02537","red"
"347","Pastreoides02539","yellow"
"348","Pastreoides02553","lightcyan"
"349","Pastreoides02554","salmon"
"350","Pastreoides02579","tan"
"351","Pastreoides02580","tan"
"352","Pastreoides02593","lightcyan"
"353","Pastreoides02601","brown"
"354","Pastreoides02602","purple"
"355","Pastreoides02607","magenta"
"356","Pastreoides02609","grey60"
"357","Pastreoides02634","black"
"358","Pastreoides02649","brown"
"359","Pastreoides02650","yellow"
"360","Pastreoides02653","blue"
"361","Pastreoides02663","pink"
"362","Pastreoides02664","purple"
"363","Pastreoides02669","purple"
"364","Pastreoides02673","brown"
"365","Pastreoides02677","turquoise"
"366","Pastreoides02681","pink"
"367","Pastreoides02707","red"
"368","Pastreoides02709","brown"
"369","Pastreoides02711","green"
"370","Pastreoides02723","turquoise"
"371","Pastreoides02726","darkred"
"372","Pastreoides02749","blue"
"373","Pastreoides02760","lightcyan"
"374","Pastreoides02768","brown"
"375","Pastreoides02787","turquoise"
"376","Pastreoides02788","turquoise"
"377","Pastreoides02789","grey"
"378","Pastreoides02790","magenta"
"379","Pastreoides02791","brown"
"380","Pastreoides02792","greenyellow"
"381","Pastreoides02806","lightcyan"
"382","Pastreoides02815","greenyellow"
"383","Pastreoides02817","lightcyan"
"384","Pastreoides02818","darkred"
"385","Pastreoides02821","purple"
"386","Pastreoides02822","magenta"
"387","Pastreoides02826","magenta"
"388","Pastreoides02847","lightyellow"
"389","Pastreoides02848","midnightblue"
"390","Pastreoides02850","black"
"391","Pastreoides02857","midnightblue"
"392","Pastreoides02865","blue"
"393","Pastreoides02874","turquoise"
"394","Pastreoides02887","green"
"395","Pastreoides02888","yellow"
"396","Pastreoides02895","yellow"
"397","Pastreoides02896","green"
"398","Pastreoides02897","royalblue"
"399","Pastreoides02906","grey60"
"400","Pastreoides02913","turquoise"
"401","Pastreoides02945","red"
"402","Pastreoides02953","blue"
"403","Pastreoides02955","tan"
"404","Pastreoides02958","brown"
"405","Pastreoides02960","turquoise"
"406","Pastreoides02968","turquoise"
"407","Pastreoides02977","grey"
"408","Pastreoides02991","tan"
"409","Pastreoides02993","yellow"
"410","Pastreoides02997","grey60"
"411","Pastreoides03001","purple"
"412","Pastreoides03002","purple"
"413","Pastreoides03003","purple"
"414","Pastreoides03005","yellow"
"415","Pastreoides03007","green"
"416","Pastreoides03010","darkred"
"417","Pastreoides03014","brown"
"418","Pastreoides03020","turquoise"
"419","Pastreoides03025","purple"
"420","Pastreoides03027","yellow"
"421","Pastreoides03028","pink"
"422","Pastreoides03042","tan"
"423","Pastreoides03043","yellow"
"424","Pastreoides03044","blue"
"425","Pastreoides03045","salmon"
"426","Pastreoides03047","turquoise"
"427","Pastreoides03048","purple"
"428","Pastreoides03051","tan"
"429","Pastreoides03060","blue"
"430","Pastreoides03073","brown"
"431","Pastreoides03081","brown"
"432","Pastreoides03082","turquoise"
"433","Pastreoides03084","turquoise"
"434","Pastreoides03122","midnightblue"
"435","Pastreoides03123","midnightblue"
"436","Pastreoides03124","yellow"
"437","Pastreoides03128","blue"
"438","Pastreoides03135","royalblue"
"439","Pastreoides03137","pink"
"440","Pastreoides03139","black"
"441","Pastreoides03140","blue"
"442","Pastreoides03151","brown"
"443","Pastreoides03157","blue"
"444","Pastreoides03158","yellow"
"445","Pastreoides03170","grey"
"446","Pastreoides03175","pink"
"447","Pastreoides03185","magenta"
"448","Pastreoides03186","black"
"449","Pastreoides03188","royalblue"
"450","Pastreoides03198","blue"
"451","Pastreoides03200","red"
"452","Pastreoides03201","green"
"453","Pastreoides03205","lightcyan"
"454","Pastreoides03208","brown"
"455","Pastreoides03209","turquoise"
"456","Pastreoides03227","red"
"457","Pastreoides03228","magenta"
"458","Pastreoides03234","pink"
"459","Pastreoides03239","turquoise"
"460","Pastreoides03240","lightyellow"
"461","Pastreoides03242","midnightblue"
"462","Pastreoides03276","tan"
"463","Pastreoides03277","lightgreen"
"464","Pastreoides03278","lightgreen"
