Sample Name_file,Trimming,Sample,Coral.ID,History,Life_Stage,Gel_Result,Extraction_Date,PMS_Date,percent_mCpG,percent_mCHG,percent_mCHH,M_Cs,percent_Dups,percent_Aligned,Ins_size,Median_cov,Mean_cov,R1_percent_BP_Trimmed,R1_percent_Dups,R1_percent_GC,R1_M_Seqs,R2_percent_BP_Trimmed,R2_percent_Dups,R2_percent_GC,R2_M_Seqs
L-661_S182_L004_R1_001_val_1,Original,L-661,R-9-A,Rim-Ambient-Patch,Larvae,Fragmented - usable,20200819,20210428,7.60%,0.70%,1.00%,495.4,16.10%,35.80%,117,3.0X,6.3X,13.90%,20.60%,27%,67.5,13.80%,20.80%,26%,67.5
L-924_S204_L004_R1_001_val_1,Original,L-924,P-9-A,Patch-Ambient-Patch,Larvae,Fragmented - usable,20200819,20210511,7.00%,0.70%,1.10%,434,14.00%,40.00%,94,2.0X,5.9X,23.30%,18.70%,31%,63.5,23.10%,18.50%,31%,63.5
L-933_S203_L004_R1_001_val_1,Original,L-933,P-10-A,Patch-Ambient-Patch,Larvae,Fragmented - usable,20200820,20210511,7.10%,0.60%,0.90%,556.1,16.10%,40.60%,101,4.0X,7.3X,21.00%,21.50%,29%,76.6,20.90%,21.50%,29%,76.6
18-118_S162_L004_R1_001_val_1,Trim_3,18-118,P-6-A,Patch-Ambient-Patch,Adult,Fragmented - usable,20200821,20210422,8.10%,0.80%,1.20%,391.4,18.80%,36.40%,110,3.0X,4.4X,13.70%,20.50%,27%,59.7,13.70%,20.30%,27%,59.7
18-130_S172_L004_R1_001_val_1,Trim_3,18-130,R-5-A,Rim-Ambient-Patch,Adult,Fragmented - usable,20200821,20210426,7.50%,1.00%,2.10%,284.1,11.50%,35.30%,77,1.0X,3.6X,29.40%,18.40%,34%,63,29.10%,17.90%,33%,63
18-250_S195_L004_R1_001_val_1,Trim_3,18-250,R-11-B,Rim-Heated-Rim,Adult,Fragmented - usable,20200819,20210506,7.10%,0.60%,1.20%,405.4,14.40%,35.70%,91,2.0X,4.8X,20.50%,19.70%,29%,72.5,20.30%,19.80%,29%,72.5
18-262_S179_L004_R1_001_val_1,Trim_3,18-262,P-15-B,Patch-Heated-Rim,Adult,Fragmented - usable,20200819,20210428,7.50%,0.60%,1.20%,451.3,12.40%,37.20%,85,3.0X,5.6X,21.10%,16.30%,29%,80.7,20.90%,16.30%,30%,80.7
18-346_S193_L004_R1_001_val_1,Trim_3,18-346,P-6-B,Patch-Ambient-Rim,Adult,Fragmented - usable,20200821,20210506,7.90%,0.50%,0.90%,473,16.90%,36.30%,103,3.0X,5.4X,17.20%,22.90%,28%,77.1,17.10%,23.10%,28%,77.1
L-1029_S183_L004_R1_001_val_1,Trim_3,L-1029,P-4-A,Patch-Ambient-Patch,Larvae,Fragmented - usable,20200819,20210428,7.60%,0.60%,1.00%,333.6,11.00%,40.30%,83,2.0X,4.2X,22.00%,15.50%,30%,55.8,21.80%,15.60%,29%,55.8
L-562_S174_L004_R1_001_val_1,Trim_3,L-562,R-5-A,Rim-Ambient-Patch,Larvae,Fragmented - usable,20200819,20210426,6.80%,0.60%,1.30%,300.2,11.40%,39.50%,76,2.0X,3.8X,28.10%,20.00%,34%,58.8,27.80%,19.50%,33%,58.8
