Run,Well,Vial
5,B5,NA
5,B6,NA
5,B7,NA
5,B8,NA
5,B9,NA
5,B10,NA
5,B11,NA
5,B12,NA
5,C1,NA
5,C2,NA
5,C3,NA
5,C4,NA
5,C5,NA
5,C6,NA
5,C7,NA
5,C8,NA
5,C9,NA
5,C10,NA
5,C11,NA
5,C12,NA
5,D1,NA
5,D2,NA
5,D3,NA
5,D4,NA
5,D5,NA
5,D6,NA
5,D7,NA
5,D8,NA
5,D9,NA
5,D10,NA
5,D11,NA
5,D12,NA
5,E1,NA
5,E2,NA
5,E3,NA
5,E4,NA
5,E5,NA
5,E6,NA
5,E7,NA
5,E8,NA
5,E9,NA
5,E10,NA
5,E11,NA
5,E12,NA
5,F1,NA
5,F2,NA
5,F3,NA
5,F4,NA
5,F5,NA
5,F6,NA
5,F7,NA
5,F8,NA
5,F9,NA
5,F10,NA
5,F11,NA
5,F12,NA
5,G1,NA
5,G2,NA
5,G3,NA
5,G4,NA
5,G5,NA
5,G6,NA
5,G7,NA
5,G8,NA
5,G9,NA
5,G10,NA
5,G11,NA
5,G12,NA
5,H1,NA
5,H2,NA
5,H3,NA
5,H4,NA
5,H5,NA
5,H6,NA
5,H7,NA
5,H8,NA
5,H9,NA
5,H10,NA
5,H11,NA
5,H12,NA
6,A1,573
6,A2,573
6,A3,573
6,A4,576
6,A5,576
6,A6,576
6,A7,654
6,A8,654
6,A9,654
6,A10,657
6,A11,657
6,A12,657
6,B1,NA
6,B2,NA
6,B3,NA
6,B4,NA
6,B5,NA
6,B6,NA
6,B7,NA
6,B8,NA
6,B9,NA
6,B10,NA
6,B11,NA
6,B12,NA
6,C1,NA
6,C2,NA
6,C3,NA
6,C4,NA
6,C5,NA
6,C6,NA
6,C7,NA
6,C8,NA
6,C9,NA
6,C10,NA
6,C11,NA
6,C12,NA
6,D1,NA
6,D2,NA
6,D3,NA
6,D4,NA
6,D5,NA
6,D6,NA
6,D7,NA
6,D8,NA
6,D9,NA
6,D10,NA
6,D11,NA
6,D12,NA
6,E1,NA
6,E2,NA
6,E3,NA
6,E4,NA
6,E5,NA
6,E6,NA
6,E7,NA
6,E8,NA
6,E9,NA
6,E10,NA
6,E11,NA
6,E12,NA
6,F1,NA
6,F2,NA
6,F3,NA
6,F4,NA
6,F5,NA
6,F6,NA
6,F7,NA
6,F8,NA
6,F9,NA
6,F10,NA
6,F11,NA
6,F12,NA
6,G1,NA
6,G2,NA
6,G3,NA
6,G4,NA
6,G5,NA
6,G6,NA
6,G7,NA
6,G8,NA
6,G9,NA
6,G10,NA
6,G11,NA
6,G12,NA
6,H1,NA
6,H2,NA
6,H3,NA
6,H4,NA
6,H5,NA
6,H6,NA
6,H7,NA
6,H8,NA
6,H9,NA
6,H10,NA
6,H11,NA
6,H12,NA
7,A1,660
7,A2,660
7,A3,660
7,A4,703
7,A5,703
7,A6,703
7,A7,706
7,A8,706
7,A9,706
7,A10,709
7,A11,709
7,A12,709
7,B1,NA
7,B2,NA
7,B3,NA
7,B4,NA
7,B5,NA
7,B6,NA
7,B7,NA
7,B8,NA
7,B9,NA
7,B10,NA
7,B11,NA
7,B12,NA
7,C1,NA
7,C2,NA
7,C3,NA
7,C4,NA
7,C5,NA
7,C6,NA
7,C7,NA
7,C8,NA
7,C9,NA
7,C10,NA
7,C11,NA
7,C12,NA
7,D1,NA
7,D2,NA
7,D3,NA
7,D4,NA
7,D5,NA
7,D6,NA
7,D7,NA
7,D8,NA
7,D9,NA
7,D10,NA
7,D11,NA
7,D12,NA
7,E1,NA
7,E2,NA
7,E3,NA
7,E4,NA
7,E5,NA
7,E6,NA
7,E7,NA
7,E8,NA
7,E9,NA
7,E10,NA
7,E11,NA
7,E12,NA
7,F1,NA
7,F2,NA
7,F3,NA
7,F4,NA
7,F5,NA
7,F6,NA
7,F7,NA
7,F8,NA
7,F9,NA
7,F10,NA
7,F11,NA
7,F12,NA
7,G1,NA
7,G2,NA
7,G3,NA
7,G4,NA
7,G5,NA
7,G6,NA
7,G7,NA
7,G8,NA
7,G9,NA
7,G10,NA
7,G11,NA
7,G12,NA
7,H1,NA
7,H2,NA
