Date,Lunar.Day,coral.id,Number.Larvae
20180702,-10,R-4-A,0
20180702,-10,R-4-B,0
20180702,-10,R-5-A,0
20180702,-10,R-5-B,0
20180702,-10,R-7-A,0
20180702,-10,R-7-B,0
20180702,-10,R-8-A,0
20180702,-10,R-8-B,0
20180702,-10,R-9-B,0
20180702,-10,R-9-A,0
20180702,-10,R-11-A,124
20180702,-10,R-11-B,0
20180702,-10,R-14-A,0
20180702,-10,R-14-B,0
20180702,-10,R-15-A,80
20180702,-10,R-15-B,0
20180702,-10,R-18-A,0
20180702,-10,R-18-B,0
20180702,-10,R-19-A,0
20180702,-10,R-19-B,0
20180702,-10,P-3-A,462
20180702,-10,P-3-B,0
20180702,-10,P-4-A,0
20180702,-10,P-4-B,0
20180702,-10,P-6-A,0
20180702,-10,P-6-B,0
20180702,-10,P-9-A,0
20180702,-10,P-9-B,0
20180702,-10,P-10-A,0
20180702,-10,P-10-B,0
20180702,-10,P-12-A,0
20180702,-10,P-12-B,0
20180702,-10,P-14-A,0
20180702,-10,P-14-B,0
20180702,-10,P-15-A,0
20180702,-10,P-15-B,0
20180702,-10,P-16-A,0
20180702,-10,P-16-B,0
20180702,-10,P-19-A,0
20180702,-10,P-19-B,0
20180703,-9,R-4-A,0
20180703,-9,R-4-B,0
20180703,-9,R-5-A,0
20180703,-9,R-5-B,0
20180703,-9,R-7-A,5
20180703,-9,R-7-B,0
20180703,-9,R-8-A,0
20180703,-9,R-8-B,0
20180703,-9,R-9-B,0
20180703,-9,R-9-A,3
20180703,-9,R-11-A,167
20180703,-9,R-11-B,0
20180703,-9,R-14-A,0
20180703,-9,R-14-B,0
20180703,-9,R-15-A,71
20180703,-9,R-15-B,0
20180703,-9,R-18-A,0
20180703,-9,R-18-B,0
20180703,-9,R-19-A,0
20180703,-9,R-19-B,0
20180703,-9,P-3-A,83
20180703,-9,P-3-B,0
20180703,-9,P-4-A,0
20180703,-9,P-4-B,14
20180703,-9,P-6-A,19
20180703,-9,P-6-B,3
20180703,-9,P-9-A,0
20180703,-9,P-9-B,0
20180703,-9,P-10-A,1
20180703,-9,P-10-B,0
20180703,-9,P-12-A,96
20180703,-9,P-12-B,0
20180703,-9,P-14-A,5
20180703,-9,P-14-B,3
20180703,-9,P-15-A,238
20180703,-9,P-15-B,0
20180703,-9,P-16-A,0
20180703,-9,P-16-B,0
20180703,-9,P-19-A,0
20180703,-9,P-19-B,0
20180704,-8,R-4-A,0
20180704,-8,R-4-B,0
20180704,-8,R-5-A,10
20180704,-8,R-5-B,0
20180704,-8,R-7-A,24
20180704,-8,R-7-B,0
20180704,-8,R-8-A,0
20180704,-8,R-8-B,0
20180704,-8,R-9-B,0
20180704,-8,R-9-A,0
20180704,-8,R-11-A,197
20180704,-8,R-11-B,0
20180704,-8,R-14-A,0
20180704,-8,R-14-B,0
20180704,-8,R-15-A,20
20180704,-8,R-15-B,0
20180704,-8,R-18-A,2
20180704,-8,R-18-B,0
20180704,-8,R-19-A,0
20180704,-8,R-19-B,0
20180704,-8,P-3-A,34
20180704,-8,P-3-B,0
20180704,-8,P-4-A,0
20180704,-8,P-4-B,0
20180704,-8,P-6-A,0
20180704,-8,P-6-B,1
20180704,-8,P-9-A,0
20180704,-8,P-9-B,0
20180704,-8,P-10-A,21
20180704,-8,P-10-B,0
20180704,-8,P-12-A,27
20180704,-8,P-12-B,0
20180704,-8,P-14-A,15
20180704,-8,P-14-B,0
20180704,-8,P-15-A,43
20180704,-8,P-15-B,0
20180704,-8,P-16-A,0
20180704,-8,P-16-B,0
20180704,-8,P-19-A,0
20180704,-8,P-19-B,0
20180705,-7,R-4-A,0
20180705,-7,R-4-B,0
20180705,-7,R-5-A,0
20180705,-7,R-5-B,0
20180705,-7,R-7-A,20
20180705,-7,R-7-B,8
20180705,-7,R-8-A,0
20180705,-7,R-8-B,0
20180705,-7,R-9-B,0
20180705,-7,R-9-A,0
20180705,-7,R-11-A,94
20180705,-7,R-11-B,2
20180705,-7,R-14-A,0
20180705,-7,R-14-B,10
20180705,-7,R-15-A,12
20180705,-7,R-15-B,0
20180705,-7,R-18-A,0
20180705,-7,R-18-B,0
20180705,-7,R-19-A,0
20180705,-7,R-19-B,0
20180705,-7,P-3-A,7
20180705,-7,P-3-B,0
20180705,-7,P-4-A,6
20180705,-7,P-4-B,0
20180705,-7,P-6-A,25
20180705,-7,P-6-B,0
20180705,-7,P-9-A,0
20180705,-7,P-9-B,0
20180705,-7,P-10-A,0
20180705,-7,P-10-B,1
20180705,-7,P-12-A,40
20180705,-7,P-12-B,0
20180705,-7,P-14-A,58
20180705,-7,P-14-B,0
20180705,-7,P-15-A,0
20180705,-7,P-15-B,0
20180705,-7,P-16-A,0
20180705,-7,P-16-B,0
20180705,-7,P-19-A,0
20180705,-7,P-19-B,0
20180706,-6,R-4-A,0
20180706,-6,R-4-B,0
20180706,-6,R-5-A,31
20180706,-6,R-5-B,0
20180706,-6,R-7-A,74
20180706,-6,R-7-B,0
20180706,-6,R-8-A,0
20180706,-6,R-8-B,0
20180706,-6,R-9-B,0
20180706,-6,R-9-A,0
20180706,-6,R-11-A,254
20180706,-6,R-11-B,0
20180706,-6,R-14-A,0
20180706,-6,R-14-B,14
20180706,-6,R-15-A,10
20180706,-6,R-15-B,0
20180706,-6,R-18-A,0
20180706,-6,R-18-B,0
20180706,-6,R-19-A,0
20180706,-6,R-19-B,0
20180706,-6,P-3-A,15
20180706,-6,P-3-B,0
20180706,-6,P-4-A,56
20180706,-6,P-4-B,0
20180706,-6,P-6-A,210
20180706,-6,P-6-B,0
20180706,-6,P-9-A,13
20180706,-6,P-9-B,0
20180706,-6,P-10-A,0
20180706,-6,P-10-B,0
20180706,-6,P-12-A,99
20180706,-6,P-12-B,2
20180706,-6,P-14-A,358
20180706,-6,P-14-B,0
20180706,-6,P-15-A,686
20180706,-6,P-15-B,8
20180706,-6,P-16-A,14
20180706,-6,P-16-B,0
20180706,-6,P-19-A,0
20180706,-6,P-19-B,0
20180707,-5,R-4-A,0
20180707,-5,R-4-B,0
20180707,-5,R-5-A,122
20180707,-5,R-5-B,0
20180707,-5,R-7-A,33
20180707,-5,R-7-B,25
20180707,-5,R-8-A,7
20180707,-5,R-8-B,14
20180707,-5,R-9-B,0
20180707,-5,R-9-A,11
20180707,-5,R-11-A,515
20180707,-5,R-11-B,1
20180707,-5,R-14-A,0
20180707,-5,R-14-B,0
20180707,-5,R-15-A,12
20180707,-5,R-15-B,0
20180707,-5,R-18-A,0
20180707,-5,R-18-B,0
20180707,-5,R-19-A,0
20180707,-5,R-19-B,0
20180707,-5,P-3-A,9
20180707,-5,P-3-B,0
20180707,-5,P-4-A,146
20180707,-5,P-4-B,66
20180707,-5,P-6-A,450
20180707,-5,P-6-B,0
20180707,-5,P-9-A,42
20180707,-5,P-9-B,0
20180707,-5,P-10-A,46
20180707,-5,P-10-B,35
20180707,-5,P-12-A,440
20180707,-5,P-12-B,20
20180707,-5,P-14-A,115
20180707,-5,P-14-B,12
20180707,-5,P-15-A,877
20180707,-5,P-15-B,30
20180707,-5,P-16-A,41
20180707,-5,P-16-B,0
20180707,-5,P-19-A,0
20180707,-5,P-19-B,16
20180708,-4,R-4-A,0
20180708,-4,R-4-B,0
20180708,-4,R-5-A,0
20180708,-4,R-5-B,0
20180708,-4,R-7-A,0
20180708,-4,R-7-B,44
20180708,-4,R-8-A,18
20180708,-4,R-8-B,1
20180708,-4,R-9-B,0
20180708,-4,R-9-A,117
20180708,-4,R-11-A,0
20180708,-4,R-11-B,0
20180708,-4,R-14-A,0
20180708,-4,R-14-B,15
20180708,-4,R-15-A,10
20180708,-4,R-15-B,0
20180708,-4,R-18-A,0
20180708,-4,R-18-B,0
20180708,-4,R-19-A,31
20180708,-4,R-19-B,0
20180708,-4,P-3-A,12
20180708,-4,P-3-B,0
20180708,-4,P-4-A,0
20180708,-4,P-4-B,0
20180708,-4,P-6-A,259
20180708,-4,P-6-B,0
20180708,-4,P-9-A,0
20180708,-4,P-9-B,0
20180708,-4,P-10-A,0
20180708,-4,P-10-B,69
20180708,-4,P-12-A,0
20180708,-4,P-12-B,0
20180708,-4,P-14-A,0
20180708,-4,P-14-B,0
