Date,Lunar.Day
20180702,-10
20180703,-9
20180704,-8
20180705,-7
20180706,-6
20180707,-5
20180708,-4
20180709,-3
20180710,-2
20180711,-1
20180712,0
20180713,1
20180714,2
20180715,3
20180716,4
20180717,5
20180718,6
