"","GO_ID","gene","adj.pval.Origin","adj.pval.Treatment","adj.pval.LifeStage","adj.pval.Origin_x_Treatment","adj.pval.Origin_x_LifeStage","adj.pval.Treatment_x_LifeStage","adj.pval.Origin_x_Treatment_x_LifeStage","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GOSlim_bin","aspect"
"1","GO:0000018","Pastreoides22503",0.00184190381516645,0.609901021874637,0.916005486675964,0.633234508607723,0.797359267803769,0.495049540843766,0.807129947956919,NA,NA,NA,NA,NA,NA,NA,NA
"2","GO:0000041","Pastreoides43020",0.0134346385905002,0.395214064442571,0.69663280491159,0.295850978027674,0.0166533757435554,0.961967742751972,0.806593299390451,NA,NA,NA,NA,NA,NA,NA,NA
"3","GO:0000077","Pastreoides24898",4.72153615876472e-43,0.848743853266305,0.921286593509699,2.89854873266657e-15,0.893298141189753,0.485346672890168,0.577233256161541,NA,NA,NA,NA,NA,NA,NA,NA
"4","GO:0000082","Pastreoides03951",1.60637126611783e-07,0.900350265301487,0.314106415388932,0.668233752393277,0.297908969312001,0.986657579361762,1,NA,NA,NA,NA,NA,NA,NA,NA
"5","GO:0000086","Pastreoides13337",0.0134808910330698,0.0471603471570399,0.395958533772753,0.590005151015521,0.944537990507438,0.805516666869128,0.60084368314643,NA,NA,NA,NA,NA,NA,NA,NA
"6","GO:0000086","Pastreoides19390",0.0249194026140959,0.578854363905508,0.247768871964627,0.974076643808077,0.894402317488595,0.756939359747046,0.846270363496236,NA,NA,NA,NA,NA,NA,NA,NA
"7","GO:0000118","Pastreoides45678",1.1127493770141e-37,0.00113399341106339,0.534475260749805,0.948111613095141,0.852892996840806,0.958168241150804,0.973223460339163,0.00264014041550914,1,3,3,"histone deacetylase complex","CC","nucleus","C"
"8","GO:0000118","Pastreoides00993",0.0201896526548535,0.371788337250464,0.00470492619060579,0.277192237509306,0.755455711742507,0.957500090889148,0.987848662689874,0.00264014041550914,1,3,3,"histone deacetylase complex","CC","nucleus","C"
"9","GO:0000118","Pastreoides12229",0.00245774896704326,0.688627210387937,0.786319590151901,0.359449326305664,0.853799131518773,0.387389043939002,0.875938739178275,0.00264014041550914,1,3,3,"histone deacetylase complex","CC","nucleus","C"
"10","GO:0000122","Pastreoides01150",4.00593569732151e-35,0.00292764858303138,0.000509587697910392,0.00714867529346164,0.552345956994265,0.832029745504566,0.916018083344968,NA,NA,NA,NA,NA,NA,NA,NA
"11","GO:0000122","Pastreoides02051",0.00955137055938346,0.469583386379,0.000153183343090867,0.92575478657754,0.981127656649834,0.98925795343378,1,NA,NA,NA,NA,NA,NA,NA,NA
"12","GO:0000122","Pastreoides05639",0.0338555513797306,0.628776242594302,0.709163537238053,0.552964497906485,0.410646694528452,0.797154181495918,1,NA,NA,NA,NA,NA,NA,NA,NA
"13","GO:0000122","Pastreoides07138",6.88402821443779e-05,0.980360515022812,0.777756851785282,0.00207782368470322,0.999616814013152,0.888898562308522,1,NA,NA,NA,NA,NA,NA,NA,NA
"14","GO:0000122","Pastreoides08493",0.0333604651885462,0.941974692773663,0.120396200196239,0.0395222027975171,0.926788529496909,0.626148318563193,0.271773013772728,NA,NA,NA,NA,NA,NA,NA,NA
"15","GO:0000122","Pastreoides12229",0.00245774896704326,0.688627210387937,0.786319590151901,0.359449326305664,0.853799131518773,0.387389043939002,0.875938739178275,NA,NA,NA,NA,NA,NA,NA,NA
"16","GO:0000122","Pastreoides22890",1.12438162021167e-06,0.949807560698872,0.439946537666131,0.664866631706385,0.903989789398995,0.100357786861421,0.944882199510928,NA,NA,NA,NA,NA,NA,NA,NA
"17","GO:0000122","Pastreoides33482",2.9181508785339e-09,0.249092772141161,0.874228919652578,0.590005151015521,0.990191046243805,0.785970392576204,0.666543758713917,NA,NA,NA,NA,NA,NA,NA,NA
"18","GO:0000122","Pastreoides38073",5.30314979857305e-15,0.483334268735216,0.712828430827306,0.565738473542165,0.784367786476776,0.835145823616115,0.771097066805587,NA,NA,NA,NA,NA,NA,NA,NA
"19","GO:0000122","Pastreoides45678",1.1127493770141e-37,0.00113399341106339,0.534475260749805,0.948111613095141,0.852892996840806,0.958168241150804,0.973223460339163,NA,NA,NA,NA,NA,NA,NA,NA
"20","GO:0000122","Pastreoides38729",7.40944250240339e-30,8.282380579657e-13,0.802680250239681,0.661374609746919,0.659832444894455,0.0378273441913467,0.207349427155228,NA,NA,NA,NA,NA,NA,NA,NA
"21","GO:0000123","Pastreoides05389",1.47220063316214e-13,0.181422356887642,1.07561625625159e-18,0.227036915753552,0.970834025722914,0.723973266244089,0.750713639523814,NA,NA,NA,NA,NA,NA,NA,NA
"22","GO:0000123","Pastreoides05389",1.47220063316214e-13,0.181422356887642,1.07561625625159e-18,0.227036915753552,0.970834025722914,0.723973266244089,0.750713639523814,NA,NA,NA,NA,NA,NA,NA,NA
"23","GO:0000124","Pastreoides36476",1.65155286865662e-05,0.0698222502219498,0.401378092130437,2.74732783717398e-07,0.954870906135944,0.281185760486283,0.887915459400051,NA,NA,NA,NA,NA,NA,NA,NA
"24","GO:0000126","Pastreoides10751",0.0318251714336402,0.642192369612118,0.615747926744104,0.812138551648102,0.983167946156632,0.988361384066537,0.944969164387997,NA,NA,NA,NA,NA,NA,NA,NA
"25","GO:0000126","Pastreoides57981",2.61073111829514e-06,0.0187281746976227,1.19762722319221e-187,0.00147397236200338,1.55558839496316e-10,0.0544007734677706,0.0655478706730789,NA,NA,NA,NA,NA,NA,NA,NA
