"","GO_ID","gene","colors","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GOSlim_bin","aspect"
"1221","GO:0007291","Pastreoides00802","brown",NA,NA,NA,NA,NA,NA,NA,NA
"1222","GO:0007292","Pastreoides30148","brown",NA,NA,NA,NA,NA,NA,NA,NA
"1223","GO:0007293","Pastreoides38073","brown",NA,NA,NA,NA,NA,NA,NA,NA
"1224","GO:0007297","Pastreoides38073","brown",NA,NA,NA,NA,NA,NA,NA,NA
"1225","GO:0007298","Pastreoides10000","brown",NA,NA,NA,NA,NA,NA,NA,NA
"1226","GO:0007346","Pastreoides38073","brown",NA,NA,NA,NA,NA,NA,NA,NA
"1227","GO:0007386","Pastreoides20277","brown",NA,NA,NA,NA,NA,NA,NA,NA
"1228","GO:0007386","Pastreoides38073","brown",NA,NA,NA,NA,NA,NA,NA,NA
"1229","GO:0007399","Pastreoides14527","brown",NA,NA,NA,NA,NA,NA,NA,NA
"1230","GO:0007399","Pastreoides32156","brown",NA,NA,NA,NA,NA,NA,NA,NA
"1231","GO:0007400","Pastreoides10000","brown",NA,NA,NA,NA,NA,NA,NA,NA
"1232","GO:0007403","Pastreoides27238","brown",0.0471406863768112,0.996874114045749,2,4,"glial cell fate determination","BP","developmental processes","P"
"1233","GO:0007403","Pastreoides10000","brown",0.0471406863768112,0.996874114045749,2,4,"glial cell fate determination","BP","developmental processes","P"
"1234","GO:0007409","Pastreoides20277","brown",NA,NA,NA,NA,NA,NA,NA,NA
"1235","GO:0007411","Pastreoides38073","brown",NA,NA,NA,NA,NA,NA,NA,NA
"1236","GO:0007411","Pastreoides54937","brown",NA,NA,NA,NA,NA,NA,NA,NA
"1237","GO:0007414","Pastreoides54937","brown",NA,NA,NA,NA,NA,NA,NA,NA
"1238","GO:0007416","Pastreoides04631","brown",NA,NA,NA,NA,NA,NA,NA,NA
"1239","GO:0007416","Pastreoides37093","brown",NA,NA,NA,NA,NA,NA,NA,NA
"1240","GO:0007417","Pastreoides08493","brown",NA,NA,NA,NA,NA,NA,NA,NA
"1241","GO:0007417","Pastreoides38073","brown",NA,NA,NA,NA,NA,NA,NA,NA
"1242","GO:0007420","Pastreoides04543","brown",NA,NA,NA,NA,NA,NA,NA,NA
"1243","GO:0007420","Pastreoides30277","brown",NA,NA,NA,NA,NA,NA,NA,NA
"1244","GO:0007420","Pastreoides47605","brown",NA,NA,NA,NA,NA,NA,NA,NA
"1245","GO:0007422","Pastreoides10000","brown",NA,NA,NA,NA,NA,NA,NA,NA
