"","GO_ID","gene","colors","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GOSlim_bin","aspect"
"892","GO:0005829","Pastreoides17070","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"893","GO:0005829","Pastreoides22094","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"894","GO:0005829","Pastreoides50793","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"895","GO:0005829","Pastreoides27332","brown",0.0011280609160471,0.999377622413608,51,404,"cytosol","CC","cytosol","C"
"896","GO:0005840","Pastreoides21450","brown",NA,NA,NA,NA,NA,NA,NA,NA
"897","GO:0005840","Pastreoides27519","brown",NA,NA,NA,NA,NA,NA,NA,NA
"898","GO:0005847","Pastreoides01041","brown",NA,NA,NA,NA,NA,NA,NA,NA
"899","GO:0005856","Pastreoides09653","brown",NA,NA,NA,NA,NA,NA,NA,NA
"900","GO:0005856","Pastreoides11868","brown",NA,NA,NA,NA,NA,NA,NA,NA
"901","GO:0005856","Pastreoides27385","brown",NA,NA,NA,NA,NA,NA,NA,NA
"902","GO:0005856","Pastreoides46362","brown",NA,NA,NA,NA,NA,NA,NA,NA
"903","GO:0005871","Pastreoides13753","brown",NA,NA,NA,NA,NA,NA,NA,NA
"904","GO:0005874","Pastreoides13753","brown",NA,NA,NA,NA,NA,NA,NA,NA
"905","GO:0005874","Pastreoides46062","brown",NA,NA,NA,NA,NA,NA,NA,NA
"906","GO:0005884","Pastreoides03540","brown",NA,NA,NA,NA,NA,NA,NA,NA
"907","GO:0005886","Pastreoides03047","brown",NA,NA,NA,NA,NA,NA,NA,NA
"908","GO:0005886","Pastreoides03970","brown",NA,NA,NA,NA,NA,NA,NA,NA
"909","GO:0005886","Pastreoides05354","brown",NA,NA,NA,NA,NA,NA,NA,NA
"910","GO:0005886","Pastreoides06381","brown",NA,NA,NA,NA,NA,NA,NA,NA
"911","GO:0005886","Pastreoides07154","brown",NA,NA,NA,NA,NA,NA,NA,NA
"912","GO:0005886","Pastreoides10751","brown",NA,NA,NA,NA,NA,NA,NA,NA
"913","GO:0005886","Pastreoides11868","brown",NA,NA,NA,NA,NA,NA,NA,NA
"914","GO:0005886","Pastreoides13262","brown",NA,NA,NA,NA,NA,NA,NA,NA
"915","GO:0005886","Pastreoides18749","brown",NA,NA,NA,NA,NA,NA,NA,NA
"916","GO:0005886","Pastreoides29772","brown",NA,NA,NA,NA,NA,NA,NA,NA
"917","GO:0005886","Pastreoides13607","brown",NA,NA,NA,NA,NA,NA,NA,NA
"918","GO:0005886","Pastreoides13753","brown",NA,NA,NA,NA,NA,NA,NA,NA
