"","GO_ID","gene","adj.pval.Origin","adj.pval.Treatment","adj.pval.LifeStage","adj.pval.Origin_x_Treatment","adj.pval.Origin_x_LifeStage","adj.pval.Treatment_x_LifeStage","adj.pval.Origin_x_Treatment_x_LifeStage","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GOSlim_bin","aspect"
"1","GO:0000030","Pastreoides08209",0.12206542582406,0.223184855611125,0.473037939401456,0.00444572233623888,0.865530139984833,0.595274443368331,0.634371314151454,NA,NA,NA,NA,NA,NA,NA,NA
"2","GO:0000030","Pastreoides08209",0.12206542582406,0.223184855611125,0.473037939401456,0.00444572233623888,0.865530139984833,0.595274443368331,0.634371314151454,NA,NA,NA,NA,NA,NA,NA,NA
"3","GO:0000077","Pastreoides24898",4.72153615876472e-43,0.848743853266305,0.921286593509699,2.89854873266657e-15,0.893298141189753,0.485346672890168,0.577233256161541,NA,NA,NA,NA,NA,NA,NA,NA
"4","GO:0000122","Pastreoides01150",4.00593569732151e-35,0.00292764858303138,0.000509587697910392,0.00714867529346164,0.552345956994265,0.832029745504566,0.916018083344968,NA,NA,NA,NA,NA,NA,NA,NA
"5","GO:0000122","Pastreoides08493",0.0333604651885462,0.941974692773663,0.120396200196239,0.0395222027975171,0.926788529496909,0.626148318563193,0.271773013772728,NA,NA,NA,NA,NA,NA,NA,NA
"6","GO:0000122","Pastreoides07138",6.88402821443779e-05,0.980360515022812,0.777756851785282,0.00207782368470322,0.999616814013152,0.888898562308522,1,NA,NA,NA,NA,NA,NA,NA,NA
"7","GO:0000122","Pastreoides09297",0.480895400107814,0.137475575937774,0.0135976401834274,0.00014377393843359,0.681767235484449,0.0353373647827965,0.598287374123589,NA,NA,NA,NA,NA,NA,NA,NA
"8","GO:0000122","Pastreoides15556",0.101034018999526,0.968304391349796,0.838121103564942,0.000274676005609831,0.224807285104887,0.862801139298761,0.333801438492573,NA,NA,NA,NA,NA,NA,NA,NA
"9","GO:0000123","Pastreoides15556",0.101034018999526,0.968304391349796,0.838121103564942,0.000274676005609831,0.224807285104887,0.862801139298761,0.333801438492573,NA,NA,NA,NA,NA,NA,NA,NA
"10","GO:0000124","Pastreoides36476",1.65155286865662e-05,0.0698222502219498,0.401378092130437,2.74732783717398e-07,0.954870906135944,0.281185760486283,0.887915459400051,NA,NA,NA,NA,NA,NA,NA,NA
"11","GO:0000126","Pastreoides12738",0.770335975965389,0.0630940408436048,0.00713330758554205,0.020879987849242,0.588093605471736,0.0576514527001692,0.944969164387997,0.0475842610265524,0.996825591905993,2,4,"transcription factor TFIIIB complex","CC","nucleus","C"
