Sample.ID	Meth_Status	Feature	percent	Coral.ID	History	LifeStage	Group	Origin	Treatment	Transplant	Col_Life
42	18-130	All_CpGs	Downstream_Flanks	4.77	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
43	18-130	Unmethylated	Downstream_Flanks	4.95	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
44	18-130	All_CpGs	Upstream_Flanks	6.13	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
45	18-130	All_CpGs	Intergenic	59.94	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
46	18-130	Unmethylated	Introns	18.68	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
47	18-130	All_CpGs	Introns	19.4	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
48	18-130	Methylated	Introns	27.47	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
49	18-130	Methylated	Upstream_Flanks	3.28	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
50	18-130	Methylated	CDS	10.09	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
51	18-130	Unmethylated	Upstream_Flanks	6.38	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
52	18-130	Sparsely_Methylated	Downstream_Flanks	4.6	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
53	18-130	Unmethylated	CDS	9.8	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
54	18-130	Methylated	Intergenic	56.36	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
55	18-130	Methylated	Downstream_Flanks	2.8	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
56	18-130	Sparsely_Methylated	CDS	8.94	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
57	18-130	Sparsely_Methylated	Introns	20.26	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
58	18-130	All_CpGs	CDS	9.76	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
59	18-130	Sparsely_Methylated	Intergenic	60.36	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
60	18-130	Sparsely_Methylated	Upstream_Flanks	5.84	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
61	18-142	All_CpGs	Introns	19.81	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
62	18-142	All_CpGs	CDS	9.21	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
63	18-142	All_CpGs	Intergenic	60.13	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
64	18-142	All_CpGs	Upstream_Flanks	6.09	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
65	18-142	Unmethylated	CDS	9.25	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
66	18-142	Sparsely_Methylated	Introns	21.19	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
67	18-142	Sparsely_Methylated	Intergenic	60.18	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
