Sample.ID	Meth_Status	Feature	counts	Coral.ID	History	LifeStage	Group	Origin	Treatment	Transplant	Col_Life
43	18-118	Unmethylated	Gene	1861063	P-6-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-6-A_Adult
44	18-118	Unmethylated	CDS	577849	P-6-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-6-A_Adult
45	18-118	Unmethylated	Introns	1272762	P-6-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-6-A_Adult
46	18-118	Methylated	All_Flanks	38195	P-6-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-6-A_Adult
47	18-118	Unmethylated	Intergenic	4093883	P-6-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-6-A_Adult
48	18-118	Unmethylated	Downstream_Flanks	331618	P-6-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-6-A_Adult
49	18-118	All_CpGs	CDS	673262	P-6-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-6-A_Adult
50	18-118	Sparsely_Methylated	CDS	39317	P-6-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-6-A_Adult
51	18-118	Sparsely_Methylated	Introns	102388	P-6-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-6-A_Adult
52	18-118	Sparsely_Methylated	Intergenic	295018	P-6-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-6-A_Adult
53	18-118	Sparsely_Methylated	Upstream_Flanks	27632	P-6-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-6-A_Adult
54	18-118	Methylated	Upstream_Flanks	20206	P-6-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-6-A_Adult
55	18-118	Unmethylated	All_Flanks	758705	P-6-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-6-A_Adult
56	18-118	Sparsely_Methylated	All_Flanks	49878	P-6-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-6-A_Adult
57	18-130	Methylated	Downstream_Flanks	11455	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
58	18-130	Methylated	Upstream_Flanks	13426	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
59	18-130	Methylated	Intergenic	230518	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
60	18-130	All_CpGs	Downstream_Flanks	276492	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
61	18-130	Sparsely_Methylated	Gene	114625	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
