"","Fragment.ID","Intercept","umol.L.sec","V4","V5"
"75","R-5-A_1",204.222935471058,0.00039316352693789,NA,"Photo"
"76","R-5-A_2",205.627331303944,-0.000941288822322005,NA,"Resp"
"77","R-5-B_1",231.794784026671,0.000142604750256474,NA,"Photo"
"78","R-5-B_2",232.422095815455,-0.0018316841043124,NA,"Resp"
"79","R-7-A_1",232.383686035891,0.00121106015798611,NA,"Photo"
"80","R-7-A_2",236.884160396462,-0.00231883689591557,NA,"Resp"
"81","R-7-B_1",218.26138853267,0.00226294047094623,NA,"Photo"
"82","R-7-B_2",228.019585476093,-0.00187915797492091,NA,"Resp"
"83","R-8-A_1",227.096425031821,-0.000184847844019479,NA,"Photo"
"84","R-8-A_2",225.988095061346,-0.00182887103520393,NA,"Resp"
"85","R-8-B_1",228.613515006766,0.00169011990558616,NA,"Photo"
"86","R-8-B_2",234.352735095789,-0.00124349017190153,NA,"Resp"
"87","R-9-A_1",251.970929906252,0.00047389333830011,NA,"Photo"
"88","R-9-A_2",253.412556391078,-0.00175987093095586,NA,"Resp"
"89","R-9-B_1",209.691768887577,0.000941945362934981,NA,"Photo"
"90","R-9-B_2",213.212698159916,-0.00118010411041106,NA,"Resp"
